time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:52:17.398,69.0,1.0,,,,
2020-06-30 12:52:21.998,,,,8.688103787948151,,
2020-06-30 12:52:22.398,69.0,1.0,,,,
2020-06-30 12:52:26.998,,,,8.688103787948151,,
2020-06-30 12:52:27.398,69.0,2.0,,,,
2020-06-30 12:52:31.998,,,,8.71859520120509,,
2020-06-30 12:52:32.429,69.0,2.0,,,,
2020-06-30 12:52:36.998,,,,8.71859520120509,,
2020-06-30 12:52:37.417,6.0,2.0,,,,
2020-06-30 12:52:41.298,,,40.218944524918776,,,
2020-06-30 12:52:41.998,,,,8.650539935577411,,
2020-06-30 12:52:42.398,6.0,2.0,,,,
2020-06-30 12:52:44.688,,,,,1.0,17.0
2020-06-30 12:52:46.998,,,,8.650539935577411,,
2020-06-30 12:52:47.398,6.0,2.0,,,,
2020-06-30 12:52:51.998,,,,8.920957065390368,,
2020-06-30 12:52:52.398,6.0,2.0,,,,
2020-06-30 12:52:56.998,,,,8.920957065390368,,
2020-06-30 12:52:57.414,6.0,2.0,,,,
2020-06-30 12:53:01.998,,,,8.795831940265241,,
2020-06-30 12:53:02.398,6.0,2.0,,,,
2020-06-30 12:53:16.998,,,,8.801477016196552,,
2020-06-30 12:53:17.465,5.0,2.0,,,,
2020-06-30 12:53:17.714,,,,,1.0,23.0
2020-06-30 12:53:21.998,,,,8.43656031159815,,
2020-06-30 12:53:22.398,5.0,2.0,,,,
2020-06-30 12:53:26.998,,,,8.43656031159815,,
2020-06-30 12:53:27.398,5.0,2.0,,,,
2020-06-30 12:53:31.998,,,,8.47002751374005,,
2020-06-30 12:53:32.401,5.0,2.0,,,,
2020-06-30 12:53:36.998,,,,8.47002751374005,,
2020-06-30 12:53:37.539,8.0,2.0,,,,
2020-06-30 12:53:41.298,,,40.221097756723964,,,
2020-06-30 12:53:41.998,,,,8.59222676491753,,
2020-06-30 12:53:42.398,8.0,2.0,,,,
2020-06-30 12:53:46.998,,,,8.59222676491753,,
2020-06-30 12:53:47.398,8.0,2.0,,,,
2020-06-30 12:53:50.681,,,,,1.0,14.0
2020-06-30 12:53:50.715,,,,,1.0,8677.0
2020-06-30 12:53:50.745,,,,,1.0,12.0
2020-06-30 12:53:51.998,,,,8.558759562775629,,
2020-06-30 12:53:52.398,8.0,2.0,,,,
2020-06-30 12:53:56.998,,,,8.558759562775629,,
2020-06-30 12:53:57.416,8.0,2.0,,,,
2020-06-30 12:54:01.998,,,,8.72310802986364,,
2020-06-30 12:54:02.398,8.0,2.0,,,,
2020-06-30 12:54:16.998,,,,27.09642783277594,,
2020-06-30 12:54:17.428,4.0,2.0,,,,
2020-06-30 12:54:21.998,,,,26.87406771610105,,
2020-06-30 12:54:22.434,4.0,2.0,,,,
2020-06-30 12:54:27.249,,,,26.87406771610105,,
2020-06-30 12:54:28.004,4.0,2.0,,,,
2020-06-30 12:54:31.998,,,,24.031671746380947,,
